Barcelona 1992 Olympics: This countries medal tally was: 0  Gold, 2  Silver, 0  Bronze, 2 in Total`south africa
What is the fear of clocks known as`chronomentrophobia
What is the fear of time known as`chronophobia
What is the fear of food known as`cibophobia
What is the fear of enclosed spaces known as`claustrophobia
What is the fear of being locked in an enclosed place known as`cleithrophobia
What is the fear of stealing known as`cleptophobia
What is the fear of stairs known as`climacophobia
What is the fear of going to bed known as`clinophobia
What is the fear of being enclosed known as`clithrophobia
What is the fear of stings known as`cnidophobia
What is the fear of cemeteries known as`coimetrophobia
What is the fear of comets known as`cometophobia
What is the fear of sexual abuse known as`contreltophobia
What is the fear of constipation known as`coprastasophobia
What is the fear of clowns known as`coulrophobia
What is the fear of precipices known as`cremnophobia
What is the fear of extreme cold or ice or frost known as`cryophobia
What is the fear of crystals or glass known as`crystallophobia
What is the fear of computers or working on a computer known as`cyberphobia
What is the fear of bicycles known as`cyclophobia
What is the fear of waves or wave like motions known as`cymophobia
What is the fear of dogs known as`cynophobia
What is the fear of making decisions known as`decidophobia
What is the fear of dining or dinner conversations known as`deipnophobia
What is the fear of insanity known as`dementophobia
What is the fear of demons known as`demonophobia
What is the fear of crowds known as`demophobia
What is the fear of trees known as`dendrophobia
What is the fear of dentists known as`dentophobia
What is the fear of skin lesions known as`dermatophobia
What is the fear of skin lesions known as`dermatophobia
What is the fear of skin disease known as`dermatosiophobia
What is the fear of objects at the right side of the body known as`dextrophobia
What is the fear of diabetes known as`diabetophobia
What is the fear of going to school known as`didaskaleinophobia
What is the fear of justice known as`dikephobia
What is the fear of dizziness known as`dinophobia
What is the fear of double vision known as`diplophobia
What is the fear of drinking known as`dipsophobia
What is the fear of undressing in front of someone known as`dishabiliophobia
What is the fear of houses or being in a house known as`domatophobia
What is the fear of fur or skins of animals known as`doraphobia
What is the fear of crossing streets known as`dromophobia
What is the fear of the dutch known as`dutchphobia
What is the fear of deformity known as`dysmorphophobia
What is the fear of accidents known as`dystychiphobia
What is the fear of churches known as`ecclesiaphobia
What is the fear of church known as`ecclesiophobia
What is the fear of home surroundings known as`eicophobia
What is the fear of mirrors known as`eistrophobia
What is the fear of electricity known as`electrophobia
What is the fear of freedom known as`eleutherophobia
What is the fear of cats known as`elurophobia
What is the fear of vomiting known as`emetophobia
What is the fear of pins known as`enetophobia
What is the fear of crowds known as`enochlophobia
What is the fear of criticism known as`enosiophobia
What is the fear of insects known as`entomophobia
What is the fear of dawn or daylight known as`eosophobia
What is the fear of nosebleeds known as`epistaxiophobia
What is the fear of knowledge known as`epistemophobia
What is the fear of horses known as`equinophobia
What is the fear of being oneself known as`eremophobia
What is the fear of being alone known as`eremophobia
What is the fear of blushing known as`ereuthrophobia
What is the fear of surgical instruments known as`ergasiophobia
What is the fear of work known as`ergophobia
What is the fear of the color red known as`erythrophobia
What is the fear of hearing good news known as`euphobia
What is the fear of fever known as`febriphobia
What is the fear of cats known as`felinophobia
What is the fear of france or french culture known as`francophobia
What is the fear of cold known as`frigophobia
What is the fear of cats known as`galeophobia
What is the fear of france or french culture known as`gallophobia
What is the fear of marriage known as`gamophobia
What is the fear of cats known as`gatophobia
What is the fear of laughter known as`geliophobia
What is the fear of chins known as`geniophobia
What is the fear of sex known as`genophobia
What is the fear of knees known as`genuphobia
What is the fear of crossing bridges known as`gephyrophobia
What is the fear of growing old known as`gerascophobia
What is the fear of germany or german culture known as`germanophobia
What is the fear of old people or of growing old known as`gerontophobia
What is the fear of taste known as`geumaphobia
What is the fear of speaking in public known as`glossophobia
What is the fear of knowledge known as`gnosiophobia
What is the fear of writing known as`graphophobia
What is the fear of nudity known as`gymnophobia
What is the fear of women known as`gynophobia
What is the fear of hell known as`hadephobia
What is the fear of saints or holy things known as`hagiophobia
What is the fear of sinning known as`hamartophobia
What is the fear of being touched known as`haphephobia
What is the fear of being robbed known as`harpaxophobia
What is the fear of feeling pleasure known as`hedonophobia
What is the fear of the sun known as`heliophobia
What is the fear of greek terms known as`hellenologophobia
What is the fear of worms known as`helminthophobia
What is the fear of blood known as`hemophobia
What is the fear of reptiles known as`herpetophobia
What is the fear of the opposite sex known as`heterophobia
What is the fear of priests known as`hierophobia
What is the fear of horses known as`hippophobia
What is the fear of long words known as`hippopotomonstrosesquippedaliophobia
What is the fear of bums or beggars known as`hobophobia
What is the fear of road travel known as`hodophobia
What is the fear of fog known as`homichlophobia
What is the fear of sermons known as`homilophobia
What is the fear of men known as`hominophobia
What is the fear of sameness known as`homophobia
What is the fear of firearms known as`hoplophobia
What is the fear of shock known as`hormephobia
What is the fear of mercurial medicines known as`hydrargyophobia
What is the fear of water known as`hydrophobia
What is the fear of rabies known as`hydrophobophobia
What is the fear of glass known as`hyelophobia
What is the fear of liquids, dampness or moisture known as`hygrophobia
What is the fear of materialism known as`hylephobia
What is the fear of forests known as`hylophobia
What is the fear of responsibility known as`hypengyophobia
What is the fear of sleep known as`hypnophobia
What is the fear of height known as`hypsiphobia
What is the fear of going to the doctor known as`iatrophobia
What is the fear of fish known as`ichthyophobia
What is the fear of ideas known as`ideophobia
What is the fear of veritgo known as`illyngophobia
What is the fear of insects known as`insectophobia
What is the fear of poison known as`iophobia
What is the fear of solitude, being alone known as`isolophobia
What is the fear of termites known as`isopterophobia
What is the fear of japanese known as`japanophobia
What is the fear of jews known as`judeophobia
What is the fear of novelty known as`kainolophobia
What is the fear of failure known as`kakorraphiaphobia
What is the fear of ridicule known as`katagelophobia
What is the fear of sitting down known as`kathisophobia
